species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,0.0000004384,8.1855969204,21.6185998742
Br,-1.0000000000,-8.1855968429,-0.0000003838,21.6185999123
Br,-1.0000000000,0.0000003886,-8.1855977924,21.6185999378
Br,-1.0000000000,8.1855979847,-0.0000002931,21.6185999607
Cs,1.0000000000,-18.9162729060,13.5116230215,-2.7023243164
Cs,1.0000000000,-13.5116237831,18.9162727225,-2.7023243245
Cs,1.0000000000,-18.9162730135,13.5116233549,2.7023255740
Cs,1.0000000000,-2.7023247030,18.9162727421,-13.5116239677
Cs,1.0000000000,-13.5116236086,18.9162729313,2.7023256387
Cs,1.0000000000,-13.5116236476,13.5116233069,-13.5116240053
Cs,1.0000000000,2.7023250846,18.9162728611,-13.5116239498
Cs,1.0000000000,-18.9162729930,2.7023240776,-13.5116240273
Cs,1.0000000000,13.5116242579,18.9162729074,-2.7023242031
Cs,1.0000000000,13.5116244275,13.5116231070,-13.5116238560
Cs,1.0000000000,13.5116243936,18.9162727905,2.7023254871
Cs,1.0000000000,-18.9162732434,-13.5116239832,-2.7023244064
Cs,1.0000000000,-13.5116237223,-18.9162734715,-2.7023243583
Cs,1.0000000000,-18.9162731077,-13.5116241001,2.7023252838
Cs,1.0000000000,18.9162737790,13.5116234191,-2.7023241550
Cs,1.0000000000,2.7023251467,13.5116233940,-18.9162737122
Cs,1.0000000000,-18.9162732496,-2.7023250659,-13.5116240854
Cs,1.0000000000,18.9162736408,13.5116234349,2.7023255876
Cs,1.0000000000,18.9162734756,-13.5116239704,-2.7023242171
Cs,1.0000000000,-2.7023247057,13.5116233423,-18.9162739058
Cs,1.0000000000,-2.7023246422,-18.9162734519,-13.5116240014
Cs,1.0000000000,18.9162734695,-2.7023250532,-13.5116238960
Cs,1.0000000000,-13.5116238604,-18.9162734556,2.7023253843
Cs,1.0000000000,18.9162736920,2.7023244751,-13.5116238659
Cs,1.0000000000,13.5116240900,-13.5116238977,-13.5116239460
Cs,1.0000000000,18.9162736502,-13.5116237616,2.7023257461
Cs,1.0000000000,-2.7023246963,-13.5116238542,-18.9162737473
Cs,1.0000000000,13.5116242453,-18.9162733380,2.7023256815
Cs,1.0000000000,-13.5116237826,-2.7023249565,-18.9162737831
Cs,1.0000000000,2.7023253135,18.9162727709,13.5116251302
Cs,1.0000000000,-13.5116239510,-13.5116240826,-13.5116240674
Cs,1.0000000000,-13.5116236926,13.5116233494,13.5116251272
Cs,1.0000000000,2.7023251795,-18.9162737177,-13.5116239557
Cs,1.0000000000,-18.9162730207,-2.7023251561,13.5116249947
Cs,1.0000000000,13.5116242330,2.7023244964,-18.9162736764
Cs,1.0000000000,-13.5116238728,2.7023243788,-18.9162739736
Cs,1.0000000000,13.5116243528,-18.9162736714,-2.7023242090
Cs,1.0000000000,-18.9162730073,2.7023244376,13.5116252530
Cs,1.0000000000,-2.7023244353,18.9162729776,13.5116253854
Cs,1.0000000000,2.7023250525,-13.5116240609,-18.9162740025
Cs,1.0000000000,13.5116242196,-2.7023250974,-18.9162739347
Cs,1.0000000000,-13.5116236833,-13.5116238471,13.5116252857
Cs,1.0000000000,-2.7023246872,-18.9162734093,13.5116251310
Cs,1.0000000000,2.7023251652,-18.9162733576,13.5116253246
Cs,1.0000000000,18.9162736470,2.7023245177,13.5116252666
Cs,1.0000000000,13.5116244131,13.5116234670,13.5116254244
Cs,1.0000000000,-2.7023243812,13.5116233799,18.9162751313
Cs,1.0000000000,13.5116243190,-13.5116239879,13.5116251341
Cs,1.0000000000,2.7023254406,13.5116231141,18.9162751770
Cs,1.0000000000,-13.5116235483,2.7023244164,18.9162750635
Cs,1.0000000000,18.9162737372,-2.7023248176,13.5116254571
Cs,1.0000000000,-13.5116237708,-2.7023251119,18.9162750334
Cs,1.0000000000,2.7023251031,-13.5116238906,18.9162750870
Cs,1.0000000000,-2.7023246846,-13.5116240096,18.9162750692
Cs,1.0000000000,13.5116242702,-2.7023249270,18.9162751548
Cs,1.0000000000,13.5116245268,2.7023242165,18.9162752129
Br,-1.0000000000,-5.4046492076,21.6185974062,-8.0283506990
Br,-1.0000000000,-8.0283508981,21.6185974455,-5.4046493166
Br,-1.0000000000,5.4046499191,21.6185974391,-8.0283506472
Br,-1.0000000000,8.0283512832,21.6185974546,-5.4046491279
Br,-1.0000000000,-8.0283508515,21.6185974588,5.4046503783
Br,-1.0000000000,-21.6185979050,8.0283506024,-5.4046492849
Br,-1.0000000000,-21.6185979673,5.4046489194,-8.0283507231
Br,-1.0000000000,8.0283513297,21.6185974679,5.4046505671
Br,-1.0000000000,-21.6185978584,8.0283506157,5.4046504100
Br,-1.0000000000,-5.4046491289,21.6185975611,8.0283523301
Br,-1.0000000000,-21.6185980077,-5.4046500112,-8.0283507390
Br,-1.0000000000,-21.6185978459,-8.0283516496,-5.4046495289
Br,-1.0000000000,-21.6185979134,5.4046490700,8.0283518775
Br,-1.0000000000,-21.6185977993,-8.0283516362,5.4046501661
Br,-1.0000000000,5.4046499978,21.6185975941,8.0283523819
Br,-1.0000000000,21.6185985394,5.4046490511,-8.0283505159
Br,-1.0000000000,-21.6185979538,-5.4046498606,8.0283518615
Br,-1.0000000000,21.6185984990,-5.4046498794,-8.0283505318
Br,-1.0000000000,-5.4046492906,-21.6185981612,8.0283522662
Br,-1.0000000000,-5.4046492776,8.0283504906,-21.6185988337
Br,-1.0000000000,5.4046498490,8.0283505235,-21.6185987819
Br,-1.0000000000,5.4046498361,-21.6185981282,8.0283523180
Br,-1.0000000000,-8.0283508909,5.4046491321,-21.6185988583
Br,-1.0000000000,8.0283512906,5.4046490633,-21.6185987994
Br,-1.0000000000,21.6185985934,5.4046492017,8.0283520846
Br,-1.0000000000,-8.0283509314,-5.4046497985,-21.6185988743
Br,-1.0000000000,8.0283512502,-5.4046498673,-21.6185988154
Br,-1.0000000000,21.6185985529,-5.4046497288,8.0283520687
Br,-1.0000000000,5.4046496382,-8.0283515197,-21.6185988018
Br,-1.0000000000,-5.4046494885,-8.0283515527,-21.6185988536
Br,-1.0000000000,-5.4046490913,8.0283505440,21.6185999460
Br,-1.0000000000,-8.0283507046,5.4046491855,21.6185999214
Br,-1.0000000000,-8.0283507450,-5.4046497451,21.6185999054
Br,-1.0000000000,5.4046500354,8.0283505769,21.6185999978
Br,-1.0000000000,8.0283514769,5.4046491167,21.6185999803
Br,-1.0000000000,-5.4046493022,-8.0283514993,21.6185999261
Br,-1.0000000000,8.0283514365,-5.4046498139,21.6185999643
Br,-1.0000000000,5.4046498245,-8.0283514663,21.6185999779
Br,-1.0000000000,-13.5902468758,16.2139479413,-10.8092991921
Br,-1.0000000000,-16.2139484878,13.5902462889,-10.8092991785
Br,-1.0000000000,-16.2139483892,10.8092985709,-13.5902471275
Br,-1.0000000000,-10.8092988394,16.2139480068,-13.5902474446
Br,-1.0000000000,-10.8092986849,13.5902462312,-16.2139491401
Br,-1.0000000000,16.2139488923,13.5902463877,-10.8092990231
Br,-1.0000000000,13.5902474494,16.2139481419,-10.8092990438
Br,-1.0000000000,-13.5902467826,16.2139479680,10.8093001978
Br,-1.0000000000,-13.5902470572,10.8092984448,-16.2139489424
Br,-1.0000000000,-16.2139483946,13.5902463156,10.8093002114
Br,-1.0000000000,10.8092994139,16.2139480727,-13.5902473410
Br,-1.0000000000,16.2139489909,10.8092986697,-13.5902469721
Br,-1.0000000000,-16.2139484700,-10.8092992902,-13.5902471595
Br,-1.0000000000,10.8092995684,13.5902462970,-16.2139490365
Br,-1.0000000000,13.5902472683,10.8092985674,-16.2139489239
Br,-1.0000000000,-16.2139484386,-13.5902473902,-10.8092992225
Br,-1.0000000000,13.5902473282,-16.2139486499,-10.8092990917
Br,-1.0000000000,-13.5902469970,-16.2139488504,-10.8092992400
Br,-1.0000000000,-10.8092985452,13.5902462712,16.2139499447
Br,-1.0000000000,16.2139489100,-10.8092991914,-13.5902470041
Br,-1.0000000000,-10.8092989057,-13.5902472392,-16.2139489600
Br,-1.0000000000,-10.8092987070,16.2139479096,13.5902487346
Br,-1.0000000000,-10.8092989607,-16.2139487849,-13.5902474926
Br,-1.0000000000,16.2139489415,-13.5902472913,-10.8092990671
Br,-1.0000000000,10.8092993476,-13.5902471733,-16.2139488564
Br,-1.0000000000,10.8092992927,-16.2139487191,-13.5902473890
Br,-1.0000000000,-16.2139482815,10.8092984694,13.5902486231
Br,-1.0000000000,13.5902471874,-10.8092992937,-16.2139489559
Br,-1.0000000000,-13.5902471380,-10.8092994164,-16.2139489743
Br,-1.0000000000,16.2139489854,13.5902464144,10.8093003668
Br,-1.0000000000,-16.2139483454,-13.5902473635,10.8093001673
Br,-1.0000000000,-13.5902469039,-16.2139488237,10.8093001498
Br,-1.0000000000,13.5902475426,16.2139481686,10.8093003461
Br,-1.0000000000,-13.5902469175,10.8092984848,16.2139501424
Br,-1.0000000000,13.5902474213,-16.2139486232,10.8093002981
Br,-1.0000000000,10.8092995463,16.2139479755,13.5902488382
Br,-1.0000000000,-16.2139483624,-10.8092993918,13.5902485911
Br,-1.0000000000,10.8092997081,13.5902463371,16.2139500483
Br,-1.0000000000,-10.8092987660,-13.5902471991,16.2139501248
Br,-1.0000000000,16.2139490346,-13.5902472646,10.8093003227
Br,-1.0000000000,-10.8092988283,-16.2139488821,13.5902486866
Br,-1.0000000000,13.5902474080,10.8092986075,16.2139501609
