species,charge_e,x_A,y_A,z_A
Cs,1.0000000000,19.8283418894,2.8326201164,-25.4935812397
Cs,1.0000000000,2.8326201459,-8.4978610561,-31.1588219488
Cs,1.0000000000,14.1631007415,-25.4935819952,-14.1631006506
Cs,1.0000000000,-25.4935812503,19.8283419979,-2.8326197274
Cs,1.0000000000,8.4978611385,2.8326200308,-31.1588219631
Cs,1.0000000000,8.4978611001,-2.8326199657,-31.1588219808
Cs,1.0000000000,-2.8326198001,-19.8283421104,-25.4935811802
Cs,1.0000000000,-14.1631006758,-25.4935821479,-14.1631005086
Cs,1.0000000000,2.8326202764,19.8283421057,-25.4935811404
Cs,1.0000000000,2.8326200395,-19.8283420632,-25.4935812224
Cs,1.0000000000,-25.4935812733,19.8283419982,2.8326201309
Cs,1.0000000000,-31.1588222377,2.8326198380,-8.4978604958
Cs,1.0000000000,-14.1631008083,-25.4935821026,14.1631006207
Cs,1.0000000000,-31.1588222806,-2.8326201407,-8.4978605097
Cs,1.0000000000,2.8326197976,-25.4935819938,19.8283413088
Cs,1.0000000000,-31.1588222372,8.4978609051,-2.8326197338
Cs,1.0000000000,-2.8326200603,-25.4935820144,19.8283413450
Cs,1.0000000000,-31.1588222704,8.4978609291,2.8326201491
Cs,1.0000000000,2.8326199833,-25.4935820597,-19.8283413504
Cs,1.0000000000,-2.8326198644,-25.4935821040,-19.8283413388
Cs,1.0000000000,-31.1588223339,2.8326199007,8.4978608894
Cs,1.0000000000,19.8283415857,-25.4935819269,2.8326198264
Cs,1.0000000000,-25.4935814690,-19.8283421976,-2.8326198034
Cs,1.0000000000,19.8283416086,-25.4935819272,-2.8326200319
Cs,1.0000000000,-31.1588223569,-2.8326201198,8.4978608785
Cs,1.0000000000,-25.4935814948,-19.8283421947,2.8326200558
Cs,1.0000000000,-31.1588223442,-8.4978611691,-2.8326197694
Cs,1.0000000000,-31.1588223574,-8.4978611868,2.8326201165
Cs,1.0000000000,-19.8283416524,-25.4935821709,-2.8326198563
Cs,1.0000000000,-19.8283416856,-25.4935821469,2.8326200265
Cs,1.0000000000,2.8326198103,-31.1588230431,8.4978606610
Cs,1.0000000000,8.4978607794,-31.1588230439,2.8326198738
Cs,1.0000000000,8.4978608052,-31.1588230467,-2.8326199853
Cs,1.0000000000,-2.8326200292,-31.1588230903,8.4978607031
Cs,1.0000000000,2.8326199065,-31.1588231058,-8.4978607242
Cs,1.0000000000,-2.8326199456,-31.1588231324,-8.4978607088
Cs,1.0000000000,-8.4978609147,-31.1588231316,-2.8326199216
Cs,1.0000000000,-8.4978609279,-31.1588231494,2.8326199642
I,-1.0000000000,-11.3304804537,16.9957215032,-25.5842581955
I,-1.0000000000,-11.3304806487,-16.9957216388,-25.5842582652
I,-1.0000000000,-16.9957208698,11.3304809455,-25.5842587482
I,-1.0000000000,11.3304809108,-16.9957215067,-25.5842583710
I,-1.0000000000,11.3304811058,16.9957216353,-25.5842583014
I,-1.0000000000,-25.5842590430,11.3304809195,-16.9957206873
I,-1.0000000000,-16.9957209998,-11.3304811491,-25.5842587946
I,-1.0000000000,11.3304806618,-25.5842591404,16.9957209690
