species,charge_e,x_A,y_A,z_A
Br,-1.0000000000,-21.2577031018,10.6288542377,23.7636562180
Br,-1.0000000000,10.6288535738,-21.2577040982,23.7636557092
Br,-1.0000000000,-23.7636553389,-21.2577043221,-10.6288547663
Br,-1.0000000000,-21.2577027593,-23.7636568736,-10.6288548403
Br,-1.0000000000,-23.7636559721,21.2577064870,10.6288508633
Br,-1.0000000000,-10.6288512820,21.2577066064,23.7636565735
Br,-1.0000000000,-23.7636561496,21.2577059724,-10.6288537161
Br,-1.0000000000,10.6288527630,21.2577061964,23.7636567594
Br,-1.0000000000,-13.1348013854,-15.9432773302,26.5721286499
Br,-1.0000000000,-26.5721287877,-13.1348035789,15.9432763609
Br,-1.0000000000,-13.1348012715,-26.5721301611,15.9432760976
Br,-1.0000000000,-15.9432766764,-13.1348035266,26.5721287435
Br,-1.0000000000,-13.1348019935,15.9432803907,26.5721294375
Br,-1.0000000000,15.9432793912,-13.1348041416,26.5721290224
Br,-1.0000000000,-26.5721287115,-15.9432772861,13.1348076896
Br,-1.0000000000,-26.5721295173,13.1348065993,-15.9432773254
Br,-1.0000000000,-26.5721290541,-13.1348043507,-15.9432805083
Br,-1.0000000000,-15.9432764863,-26.5721300647,13.1348075201
Br,-1.0000000000,-26.5721289976,-15.9432779625,-13.1348084346
Br,-1.0000000000,-13.1348015379,-26.5721309329,-15.9432807715
Br,-1.0000000000,13.1348044253,-26.5721306550,15.9432789332
Br,-1.0000000000,13.1348041590,-26.5721314268,-15.9432779359
Br,-1.0000000000,13.1348043114,-15.9432778241,26.5721314855
Br,-1.0000000000,-26.5721292509,13.1348073712,15.9432795437
Br,-1.0000000000,-15.9432767724,-26.5721307412,-13.1348086042
Br,-1.0000000000,-26.5721296056,15.9432797584,-13.1348076469
Br,-1.0000000000,-26.5721293196,15.9432804348,13.1348084773
Br,-1.0000000000,-15.9432771396,13.1348074235,26.5721319264
Br,-1.0000000000,13.1348037034,15.9432798968,26.5721322732
Br,-1.0000000000,15.9432795813,-26.5721306797,13.1348077989
Br,-1.0000000000,15.9432789280,13.1348068085,26.5721322053
Br,-1.0000000000,15.9432792952,-26.5721313561,-13.1348083253
Br,-1.0000000000,-31.8865550096,-2.5059510067,10.6288501713
Br,-1.0000000000,-10.6288507870,-2.5059509022,31.8865549366
Br,-1.0000000000,-2.5059511414,-10.6288511293,31.8865548410
Br,-1.0000000000,-31.8865548966,-10.6288512191,2.5059510205
Br,-1.0000000000,-31.8865549613,-10.6288514065,-2.5059543355
